ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
341,AWAGEL_clean,AWAGEL_clean,2.451089156,2.259488236,0.19160092,3.044231122,0.258145837,1.347310011,3726.30005,0.99094,8.54501,7.28684,8.54501,406.28299,1090.31006,1100.28003,2216.47998,0.59482,0.60026,Cd,Yes,Cd
342,AWAGOV_clean,AWAGOV_clean,2.575867892,2.106643901,0.469223991,1.695100309,0.3775587,0.804644918,6756.7002,1.14872,8.03493,4.40002,8.00743,438.746,649.34998,565.28101,3255.98999,0.48189,0.4195,Ni,Yes,Ni
347,AWASAU_clean,AWASAU_clean,2.29309064,1.979854078,0.313236562,1.04484149,0.165306403,0.527736615,3558.59009,2.36864,4.69319,4.39635,4.67513,249.548,701.25598,296.05899,1696.63,0.47677,0.20128,"Pr,Cu",Yes,"Pr,Cu"
348,AWASEY_clean,AWASEY_clean,3.96495128,1.677980379,2.286970901,0.71440331,0.973682173,0.425751885,22767.0996,1.15771,12.05091,7.26209,12.03698,4123.95996,1811.37,1564.60999,16544.8007,0.7267,0.6277,"Pr,Cu,K",Yes,"Pr,Cu,K"
352,AWEDOW_charged,AWEDOW_charged,2.611185575,2.099603311,0.511582264,1.843368087,0.449148853,0.877960173,7791.77002,1.06034,7.01648,4.5072,7.00016,650.66199,835.06299,787.54401,4234.91016,0.54351,0.51258,Zn,No, 
354,AWEJIW_clean,AWEJIW_clean,2.701228018,2.388930369,0.312297649,2.796415946,0.365567008,1.170572396,2937.45996,1.19375,10.88001,10.50387,10.88001,339.647,1156.26001,968.59601,1738.39001,0.5918,0.49575,Cd,Yes,Cd
355,AWEVIJ_clean,AWEVIJ_clean,2.233261067,1.988104465,0.245156602,4.486178964,0.553198491,2.256510683,31053.8007,0.74721,10.6197,8.65931,10.61387,4552.77002,1466.08997,1962.07996,19869.5,0.63984,0.8563,Zn,Yes,Zn
362,AWUPAL_clean,AWUPAL_clean,2.130587737,1.628323311,0.502264426,1.822004887,0.562006472,1.118945406,17636.8007,0.34855,18.42063,9.23563,18.42063,3044.73999,1726.35999,4952.93994,15063,0.85407,2.45033,"In,Fe",Yes,Fe
366,AXIMUP_clean,AXIMUP_clean,3.603342165,2.266008476,1.337333689,4.528965609,2.672866562,1.998653428,5064.62012,0.74936,8.06476,5.62993,7.88344,1073.67004,2119.92993,2828.97998,3561.04004,0.70312,0.93829,La,Yes,La
367,AXINAX01_clean,AXINAX01_clean,3.664646587,1.877188491,1.787458095,2.23762487,2.130665464,1.192008623,26938.0996,0.402,19.47488,13.27772,19.29748,4048.68994,1502.95996,3738.69995,22356.4003,0.82992,2.06447,Co,Yes,Co
